year,geo_name,geo,soc_name,soc,sex_name,sex,num_ppl,num_ppl_moe,avg_wage_ft,avg_wage_ft_moe
2014,"California","04000US06","Diagnostic related technologists & technicians","292030","Male","1",12386,1022.3,79827.3,3692.84
2014,"California","04000US06","Diagnostic related technologists & technicians","292030","Female","2",15940,1111.27,72096.4,3351.59
2014,"California","04000US06","Emergency medical technicians & paramedics","292041","Male","1",15005,1253.73,49609.5,2911.3
2014,"California","04000US06","Emergency medical technicians & paramedics","292041","Female","2",4127,561.512,53763.5,10338.9
2014,"California","04000US06","Health practitioner support technologists & technicians","292050","Male","1",14843,1135.4,52119.5,2908.04
2014,"California","04000US06","Health practitioner support technologists & technicians","292050","Female","2",38100,1709.21,44267.6,2737.21
2014,"California","04000US06","Licensed practical & licensed vocational nurses","292061","Male","1",11674,990.764,54313.3,4621.56
2014,"California","04000US06","Licensed practical & licensed vocational nurses","292061","Female","2",49992,2228.42,47291.9,1390.93
2014,"California","04000US06","Medical records & health information technicians","292071","Male","1",3067,560.327,39695.1,3797.49
2014,"California","04000US06","Medical records & health information technicians","292071","Female","2",9772,887.256,42608.6,2733.27
2014,"California","04000US06","Opticians, dispensing","292081","Male","1",1386,308.133,46401.9,7967.54
2014,"California","04000US06","Opticians, dispensing","292081","Female","2",3683,500.217,41294.1,3503.76
2014,"California","04000US06","Miscellaneous health technologists & technicians","292090","Male","1",5715,656.23,76128.6,14651.1
2014,"California","04000US06","Miscellaneous health technologists & technicians","292090","Female","2",7027,701.193,55271.0,5895.56
2014,"California","04000US06","Other healthcare practitioners & technical Occupations","299000","Male","1",4937,601.921,79234.5,9165.25
2014,"California","04000US06","Other healthcare practitioners & technical Occupations","299000","Female","2",3484,475.552,59690.8,5357.01
2014,"California","04000US06","Nursing, psychiatric, & home health aides","311010","Male","1",36346,1986.6,39806.2,2602.85
2014,"California","04000US06","Nursing, psychiatric, & home health aides","311010","Female","2",123993,3440.32,31348.7,779.998
2014,"California","04000US06","Occupational therapy assistants & aides","312010","Male","1",57,67.6503,47751.7,24012.5
2014,"California","04000US06","Occupational therapy assistants & aides","312010","Female","2",508,180.644,59436.1,9168.53
2014,"California","04000US06","Physical therapist assistants & aides","312020","Male","1",2464,441.001,41868.1,4261.42
2014,"California","04000US06","Physical therapist assistants & aides","312020","Female","2",4089,656.031,38080.8,3654.51
2014,"California","04000US06","Massage therapists","319011","Male","1",4296,581.477,30621.1,5500.01
2014,"California","04000US06","Massage therapists","319011","Female","2",13221,1104.39,26473.9,2634.76
2014,"California","04000US06","Dental assistants","319091","Male","1",4212,676.213,33816.7,3343.6
2014,"California","04000US06","Dental assistants","319091","Female","2",41751,1839.13,32307.1,870.172
2014,"California","04000US06","Medical assistants","319092","Male","1",5672,717.613,40369.4,3569.74
2014,"California","04000US06","Medical assistants","319092","Female","2",60242,2273.47,31414.8,735.875
2014,"California","04000US06","Medical transcriptionists","319094","Male","1",369,163.501,38321.4,10116.8
2014,"California","04000US06","Medical transcriptionists","319094","Female","2",2388,371.76,44727.2,2696.89
2014,"California","04000US06","Pharmacy aides","319095","Male","1",1721,395.721,43653.3,7993.27
2014,"California","04000US06","Pharmacy aides","319095","Female","2",5099,632.12,36742.6,4168.36
2014,"California","04000US06","Veterinary assistants & laboratory animal caretakers","319096","Male","1",898,283.204,26014.5,2729.58
2014,"California","04000US06","Veterinary assistants & laboratory animal caretakers","319096","Female","2",2917,470.522,25154.9,2585.04
2014,"California","04000US06","Phlebotomists","319097","Male","1",1978,349.013,41951.9,4357.55
